draw_number,number,date
1,8838,1986/05/31
1,3277,1986/05/31
1,8586,1986/05/31
1,7709,1986/05/31
1,3775,1986/05/31
1,7647,1986/05/31
1,1503,1986/05/31
1,3303,1986/05/31
1,6619,1986/05/31
1,4611,1986/05/31
1,3772,1986/05/31
1,6677,1986/05/31
1,2940,1986/05/31
1,1802,1986/05/31
1,3073,1986/05/31
1,7780,1986/05/31
1,5131,1986/05/31
1,5893,1986/05/31
1,9502,1986/05/31
1,3883,1986/05/31
1,1931,1986/05/31
1,7096,1986/05/31
1,9123,1986/05/31
2,4337,1986/06/01
2,9419,1986/06/01
2,4671,1986/06/01
2,1563,1986/06/01
2,4789,1986/06/01
2,4874,1986/06/01
2,1984,1986/06/01
2,1206,1986/06/01
2,3394,1986/06/01
2,2647,1986/06/01
2,3027,1986/06/01
2,5316,1986/06/01
2,6734,1986/06/01
2,9205,1986/06/01
2,8596,1986/06/01
2,7768,1986/06/01
2,5732,1986/06/01
2,4211,1986/06/01
2,7416,1986/06/01
2,7666,1986/06/01
2,2913,1986/06/01
2,5276,1986/06/01
2,3213,1986/06/01
3,0685,1986/06/07
3,7199,1986/06/07
3,5557,1986/06/07
3,7415,1986/06/07
3,7522,1986/06/07
3,6253,1986/06/07
3,2099,1986/06/07
3,6561,1986/06/07
3,5403,1986/06/07
3,0396,1986/06/07
3,9514,1986/06/07
3,4466,1986/06/07
3,0876,1986/06/07
3,4481,1986/06/07
3,2954,1986/06/07
3,8158,1986/06/07
3,1124,1986/06/07
3,0031,1986/06/07
3,5472,1986/06/07
4,1633,1986/06/08
4,8038,1986/06/08
4,6382,1986/06/08
4,7978,1986/06/08
4,9269,1986/06/08
4,0878,1986/06/08
4,2238,1986/06/08
4,8273,1986/06/08
4,2581,1986/06/08
4,3607,1986/06/08
4,0554,1986/06/08
4,3472,1986/06/08
4,4160,1986/06/08
4,2453,1986/06/08
4,5766,1986/06/08
4,4823,1986/06/08
4,7342,1986/06/08
5,6290,1986/06/14
5,3110,1986/06/14
5,6280,1986/06/14
5,0857,1986/06/14
5,9184,1986/06/14
5,7770,1986/06/14
5,8114,1986/06/14
5,6523,1986/06/14
5,2292,1986/06/14
5,0242,1986/06/14
5,0413,1986/06/14
5,4669,1986/06/14
5,1391,1986/06/14
5,8989,1986/06/14
5,0365,1986/06/14
5,8302,1986/06/14
5,3034,1986/06/14
5,2631,1986/06/14
5,9247,1986/06/14
5,1388,1986/06/14
5,0941,1986/06/14
5,5103,1986/06/14
5,2188,1986/06/14
5,6725,1986/06/14
5,6556,1986/06/14
6,7049,1986/06/15
6,2746,1986/06/15
6,9130,1986/06/15
6,9023,1986/06/15
6,3764,1986/06/15
6,7191,1986/06/15
6,2717,1986/06/15
6,3601,1986/06/15
6,7104,1986/06/15
6,1627,1986/06/15
6,1919,1986/06/15
6,2547,1986/06/15
6,6974,1986/06/15
6,7882,1986/06/15
6,8158,1986/06/15
6,9292,1986/06/15
6,2309,1986/06/15
6,7471,1986/06/15
6,9734,1986/06/15
6,0259,1986/06/15
6,9963,1986/06/15
6,3219,1986/06/15
6,0605,1986/06/15
6,6119,1986/06/15
6,5892,1986/06/15
7,7655,1986/06/21
7,0326,1986/06/21
7,1987,1986/06/21
7,8135,1986/06/21
7,9501,1986/06/21
7,0381,1986/06/21
7,9007,1986/06/21
7,1681,1986/06/21
7,5044,1986/06/21
7,5764,1986/06/21
7,4704,1986/06/21
7,2849,1986/06/21
7,0777,1986/06/21
7,7229,1986/06/21
7,2693,1986/06/21
7,9263,1986/06/21
7,0286,1986/06/21
7,5344,1986/06/21
7,1806,1986/06/21
7,6857,1986/06/21
7,0245,1986/06/21
7,0651,1986/06/21
7,7729,1986/06/21
8,6910,1986/06/22
8,1721,1986/06/22
8,8192,1986/06/22
8,1047,1986/06/22
8,8519,1986/06/22
8,6258,1986/06/22
8,4979,1986/06/22
8,0825,1986/06/22
8,7729,1986/06/22
8,1960,1986/06/22
8,5815,1986/06/22
8,1770,1986/06/22
8,5322,1986/06/22
8,2800,1986/06/22
8,6110,1986/06/22
8,1760,1986/06/22
8,2195,1986/06/22
8,6092,1986/06/22
8,5525,1986/06/22
8,5037,1986/06/22
8,0154,1986/06/22
8,7203,1986/06/22
8,6110,1986/06/22
9,9340,1986/06/28
9,8625,1986/06/28
9,6088,1986/06/28
9,2079,1986/06/28
9,0934,1986/06/28
9,5810,1986/06/28
9,8346,1986/06/28
9,2859,1986/06/28
9,7479,1986/06/28
9,9116,1986/06/28
9,4882,1986/06/28
9,6621,1986/06/28
9,7139,1986/06/28
9,7533,1986/06/28
9,7519,1986/06/28
9,3900,1986/06/28
9,1377,1986/06/28
9,5511,1986/06/28
9,2140,1986/06/28
9,3480,1986/06/28
9,7633,1986/06/28
9,2986,1986/06/28
9,8105,1986/06/28
10,4695,1986/06/29
10,2303,1986/06/29
10,1734,1986/06/29
10,9816,1986/06/29
10,2249,1986/06/29
10,5855,1986/06/29
10,3850,1986/06/29
10,4479,1986/06/29
10,2296,1986/06/29
10,3007,1986/06/29
10,4622,1986/06/29
10,9576,1986/06/29
10,7420,1986/06/29
10,1288,1986/06/29
10,3359,1986/06/29
10,1373,1986/06/29
10,8511,1986/06/29
10,6446,1986/06/29
10,7309,1986/06/29
10,1096,1986/06/29
10,1525,1986/06/29
11,4641,1986/07/05
11,1451,1986/07/05
11,8675,1986/07/05
11,8634,1986/07/05
11,2746,1986/07/05
11,2655,1986/07/05
11,7182,1986/07/05
11,9045,1986/07/05
11,6005,1986/07/05
11,5472,1986/07/05
11,1209,1986/07/05
11,5086,1986/07/05
11,6410,1986/07/05
11,6138,1986/07/05
11,4912,1986/07/05
11,8555,1986/07/05
11,2756,1986/07/05
11,3872,1986/07/05
11,1757,1986/07/05
11,7107,1986/07/05
11,6090,1986/07/05
11,5363,1986/07/05
11,3872,1986/07/05
11,5144,1986/07/05
11,2304,1986/07/05
12,0258,1986/07/06
12,5827,1986/07/06
12,2057,1986/07/06
12,6139,1986/07/06
12,8149,1986/07/06
12,0285,1986/07/06
12,2304,1986/07/06
12,4461,1986/07/06
12,1796,1986/07/06
12,6071,1986/07/06
12,7276,1986/07/06
12,5103,1986/07/06
12,8154,1986/07/06
12,1464,1986/07/06
12,3412,1986/07/06
12,6931,1986/07/06
12,3447,1986/07/06
12,0542,1986/07/06
12,4329,1986/07/06
12,6125,1986/07/06
12,3049,1986/07/06
12,1739,1986/07/06
12,5572,1986/07/06
13,2886,1986/07/12
13,6633,1986/07/12
13,1311,1986/07/12
13,2366,1986/07/12
13,0496,1986/07/12
13,3406,1986/07/12
13,0059,1986/07/12
13,5499,1986/07/12
13,5185,1986/07/12
13,8424,1986/07/12
13,2672,1986/07/12
13,7314,1986/07/12
13,3395,1986/07/12
13,5767,1986/07/12
13,2901,1986/07/12
13,1289,1986/07/12
13,3151,1986/07/12
13,3871,1986/07/12
13,4644,1986/07/12
13,5390,1986/07/12
13,6225,1986/07/12
13,7882,1986/07/12
13,4520,1986/07/12
14,2569,1986/07/13
14,0945,1986/07/13
14,1006,1986/07/13
14,8299,1986/07/13
14,9784,1986/07/13
14,2781,1986/07/13
14,3606,1986/07/13
14,7092,1986/07/13
14,9422,1986/07/13
14,1626,1986/07/13
14,3254,1986/07/13
14,4836,1986/07/13
14,6285,1986/07/13
14,3985,1986/07/13
14,7505,1986/07/13
14,9304,1986/07/13
14,3456,1986/07/13
14,2331,1986/07/13
14,1128,1986/07/13
14,9562,1986/07/13
14,3448,1986/07/13
14,8765,1986/07/13
14,8716,1986/07/13
15,0735,1986/07/19
15,0704,1986/07/19
15,1651,1986/07/19
15,8643,1986/07/19
15,5011,1986/07/19
15,6210,1986/07/19
15,4695,1986/07/19
15,2198,1986/07/19
15,9324,1986/07/19
15,0020,1986/07/19
15,8695,1986/07/19
15,4650,1986/07/19
15,7033,1986/07/19
15,8513,1986/07/19
15,7221,1986/07/19
15,4645,1986/07/19
15,8481,1986/07/19
15,0526,1986/07/19
15,2304,1986/07/19
15,1215,1986/07/19
15,7647,1986/07/19
15,4362,1986/07/19
15,1930,1986/07/19
16,9382,1986/07/20
16,5267,1986/07/20
16,6969,1986/07/20
16,2342,1986/07/20
16,3005,1986/07/20
16,9058,1986/07/20
16,5938,1986/07/20
16,1767,1986/07/20
16,3819,1986/07/20
16,0006,1986/07/20
16,3060,1986/07/20
16,9785,1986/07/20
16,3322,1986/07/20
16,3391,1986/07/20
16,0303,1986/07/20
16,0198,1986/07/20
16,3532,1986/07/20
16,6101,1986/07/20
16,2700,1986/07/20
16,7600,1986/07/20
16,6974,1986/07/20
16,4541,1986/07/20
16,1812,1986/07/20
17,6332,1986/07/26
17,7024,1986/07/26
17,3263,1986/07/26
17,2011,1986/07/26
17,9423,1986/07/26
17,6785,1986/07/26
17,0267,1986/07/26
17,1008,1986/07/26
17,0833,1986/07/26
17,9274,1986/07/26
17,2932,1986/07/26
17,8152,1986/07/26
17,2255,1986/07/26
17,5483,1986/07/26
17,9935,1986/07/26
17,3504,1986/07/26
17,3051,1986/07/26
17,3962,1986/07/26
17,7461,1986/07/26
17,5079,1986/07/26
17,1987,1986/07/26
17,4633,1986/07/26
17,4478,1986/07/26
18,2675,1986/07/27
18,3096,1986/07/27
18,6957,1986/07/27
18,3490,1986/07/27
18,8051,1986/07/27
18,3554,1986/07/27
18,0295,1986/07/27
18,4662,1986/07/27
18,8140,1986/07/27
18,6094,1986/07/27
18,1839,1986/07/27
18,1889,1986/07/27
18,3486,1986/07/27
18,3202,1986/07/27
18,2492,1986/07/27
18,2376,1986/07/27
18,7286,1986/07/27
18,7544,1986/07/27
18,0579,1986/07/27
18,7832,1986/07/27
18,8391,1986/07/27
18,3239,1986/07/27
